,firm
211,中国銀行（8382）
212,小野薬品工業（4528）
213,クルーズ（2138）
214,ホギメディカル（3593）
215,博報堂ＤＹホールディングス（2433）
216,ゼビオ（8281）
217,Core Insight:  マブチモーター（6592）
218,ゆうちょ銀行（7182）
219,川崎重工業（7012）
220,東映（9605）
221,ＧＬＰ投資法人（3281）
222,マキタ（6586）
223,ダイヘン（6622）
224,ケーズホールディングス（8282）
225,エン・ジャパン（4849）
226,西松屋チェーン（7545）
227,七十七銀行（8341）
228,コナミ（9766）
229,日本特殊陶業（5334）
230,ユニプレス（5949）
231,日揮（1963）
232,ジャパン・ホテル・アンド・リゾート投資法人（8981）
233,中部電力（9502）
234,ローソン（2651）
235,ファーストリテイリング（9983）
236,日本梱包運輸倉庫（9072）
237,北陸電力（9505）
238,オリックス（8591）
239,ダイドードリンコ（2590）
240,ツムラ（4540）
241,オリエンタルランド（4661）
242,エムスリー（2413）
243,テルモ（4543）
244,西武ホールディングス（9024）
245,イオンリート投資法人（3292）
246,星野リゾート・リート投資法人（3287）
247,富士石油（5017）
248,コスモ石油（5007）
249,ニチレイ（2871）
250,日本農薬（4997）
251,中国電力（9504）
252,三井化学（4183）
253,パイオニア（6773）
254,大気社（1979）
255,サンバイオ（4592）
256,日信工業（7230）
257,ダイキン工業（6367）
258,エア・ウォーター（4088）
259,三菱重工業（7011）
260,リログループ（8876）
261,日本電信電話（9432）
262,コンフォリア・レジデンシャル投資法人（3282）
263,日本リテールファンド投資法人（8953）
264,ＮＴＴドコモ（9437）
265,みずほフィナンシャルグループ（8411）
266,大正製薬（4535）
267,科研製薬（4521）
268,エー・ピーカンパニー（3175）
269,日本郵政（6178）
270,武田薬品工業（4502）
271,MS&AD ホールディングス（8725）
272,東京ガス（9531）
273,沢井製薬（4555）
274,カシオ計算機（6952）
275,東海理化電機製作所（6995）
276,イビデン（4062）
277,ティーガイア（3738）
278,大日本印刷（7912）
279,西日本旅客鉄道（9021）
280,村田製作所（6981）
281,伊予銀行（8385）
282,リクルートホールディングス（6098）
283,日本ホテルファンド投資法人（8985）
284,ＬＩＮＥ（3938）
285,昭和電工（4004）
286,デンソー（6902）
287,日本写真印刷（7915）
288,東洋インキＳＣホールディングス（4634）
289,ＡＯＣホールディングス（5017）
290,日本ハム（2282）
291,コンコルディア・フィナンシャルグループ（7186）
292,サークルＫサンクス（3337）
293,三菱電機（6503）
294,テンプホールディングス（2181）
295,国際石油開発帝石（1605）
296,サッポロホールディングス（2501）
297,富士通（6702）
298,マクロミル（3730）
299,九州電力（9508）
300,クックパッド（2193）
301,田辺三菱製薬（4508）
302,大東建託（1878）
303,日本金銭機械（6418）
304,日本通信（9424）
305,ＮＴＴ都市開発（8933）
306,メイテック（9744）
307,キョーリン製薬ホールディングス（4569）
308,コマツ（6301）
309,ＳＣＳＫ（9719）
310,スルガ銀行（8358）
311,サントリー食品インターナショナル（2587）
312,スクウェア・エニックス・ホールディングス（9684）
313,リロ・ホールディング（8876）
314,ＮＯＫ（7240）
315,クボタ（6326）
316,ＮＥＣ（6701）
317,三越伊勢丹ホールディングス（3099）
318,ＪＸホールディングス（5020）
319,アマダ（6113）
320,セガサミーホールディングス（6460）
321,東燃ゼネラル石油（5012）
322,淀川製鋼所（5451）
323,丸紅（8002）
324,アルパイン（6816）
325,太平洋セメント（5233）
326,アマダホールディングス（6113）
327,日立建機（6305）
328,ほくほくフィナンシャルグループ（8377）
329,宇部興産（4208）
330,積水ハウス・リート投資法人（3309）
331,ニプロ（8086）
332,旭化成（3407）
333,トランス・コスモス（9715）
334,セコム（9735）
335,日本水産（1332）
336,資生堂（4911）
337,ダイセル化学工業（4202）
338,昭和シェル石油（5002）
339,ヨンドシーホールディングス（8008）
340,トレンドマイクロ（4704）
341,日本テレビホールディングス（9404）
342,ユナイテッドアローズ（7606）
343,住生活グループ（5938）
344,ハウス食品（2810）
345,サトーホールディングス（6287）
346,ユニー・ファミリーマートホールディングス（8028）
347,リコー（7752）
348,新日鐵住金（5401）
349,グリー（3632）
350,第一生命保険（8750）
351,ヒューリックリート投資法人（3295）
352,日本テレビ放送網（9404）
353,フジシールインターナショナル（7864）
354,三菱ＵＦＪフィナンシャル・グループ（8306）
355,松井証券（8628）
356,日医工（4541）
357,日本トリム（6788）
358,フロンティア不動産投資法人（8964）
359,新日本製鐵（5401）
360,ファミリーマート（8028）
361,スズケン（9987）
362,ダイセル（4202）
363,千代田化工建設（6366）
364,山口フィナンシャルグループ（8418）
365,京阪電気鉄道（9045）
366,大和証券オフィス投資法人（8976）
367,野村不動産マスターファンド投資法人（3285）
368,日本電気硝子（5214）
369,ＩＴホールディングス（3626）
370,アイスタイル（3660）
371,東急リアル・エステート投資法人（8957）
372,めぶきフィナンシャルグループ（7167）
373,日本紙パルプ商事（8032）
374,エルピーダメモリ（6665）
375,不二製油グループ本社（2607）
376,オークマ（6103）
377,大日本住友製薬（4506）
378,協和エクシオ（1951）
379,イズミ（8273）
380,日本ガイシ（5333）
381,古河電気工業（5801）
382,イオンモール（8905）
383,富士重工業（7270）
384,双日（2768）
385,日産自動車（7201）
386,カルソニックカンセイ（7248）
387,電気化学工業（4061）
388,ＩＤＯＭ（7599）
389,カネカ（4118）
390,りらいあコミュニケーションズ（4708）
391,ＭＳ＆ＡＤインシュアランス  グループ  ホールディングス（8725）
392,東京エレクトロン（8035）
393,サカタのタネ（1377）
394,アドバンス・レジデンス投資法人（3269）
395,東洋水産（2875）
396,ポーラ・オルビスホールディングス（4927）
397,日立化成工業（4217）
398,キッセイ薬品工業（4547）
399,ジャパンディスプレイ（6740）
400,東宝（9602）
401,福岡リート投資法人（8968）
402,ＷＤＢホールディングス（2475）
403,オートバックスセブン（9832）
404,ワイヤレスゲート（9419）
405,チヨダ（8185）
406,Ｔ＆Ｄホールディングス（8795）
407,電通（4324）
408,メディパルホールディングス（7459）
409,東急リバブル（8879）
410,東京海上ホールディングス（8766）
411,ディー・エヌ・エー（2432）
412,日立製作所（6501）
413,野村ホールディングス（8604）
414,三菱製紙（3864）
415,コナミホールディングス（9766）
416,東和薬品（4553）
417,ニコン（7731）
418,関西ペイント（4613）
419,ビックカメラ（3048）
420,積水化学工業（4204）
421,ダブル・スコープ（6619）
422,日東電工（6988）
423,阪急阪神ホールディングス（9042）
424,カゴメ（2811）
425,関電工（1942）
426,ツルハホールディングス（3391）
427,ＪＳＲ（4185）
428,かんぽ生命保険（7181）
429,カブドットコム証券（8703）
430,ＳＡＮＫＹＯ（6417）
431,ローム（6963）
432,イオンファンタジー（4343）
433,清水建設（1803）
434,キッコーマン（2801）
435,豊田通商（8015）
436,コメリ（8218）
437,ＳＭＣ（6273）
438,ネクソン（3659）
439,日本新薬（4516）
440,西日本フィナンシャルホールディングス（7189）
441,オムロン（6645）
