,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
商船,0.0014379110652953386,0.004324521403759718,0.004920069128274918,0.00038240529829636216,0.002226416254416108,-0.0020019602961838245,0.003418120788410306,0.0007412699051201344,0.002488810336217284,0.0004812394909095019,-0.002974804025143385,-0.002563176676630974,-0.0017607397167012095,-0.002801615511998534,0.005326831713318825,0.00265379436314106,0.0001688680931692943,0.00291164661757648,0.003150038653984666,-0.0008919768733903766,-0.0002813962637446821,0.004931759089231491,-0.0011978043476119637,0.001404855283908546,-0.0002817533095367253,0.003951014950871468,-0.0011973768705502152,-0.0016964072128757834,-0.0002537005057092756,0.0002815182087942958,0.0041453903540968895,0.00043758683023042977,0.001599833252839744,-0.0015143791679292917,0.0023849080316722393,0.0009080858435481787,-0.0020473883487284184,-0.004196795169264078,-0.0047443523071706295,-0.0053221480920910835,-0.0012581489281728864,0.0037922891788184643,-0.001728914794512093,-1.524930394225521e-05,-0.005506233777850866,-0.004131023772060871,-0.0025860799942165613,0.0015150679973885417,-0.0018437327817082405,0.0012586992233991623,-0.0017931356560438871,-0.001477791229262948,0.004719514399766922,0.00357427797280252,-0.002332037780433893,0.003508806461468339,0.0036940458230674267,2.70442760665901e-05,0.0055435337126255035,-0.003471420146524906,0.0017516822554171085,0.0014365125680342317,-0.002807043492794037,-0.002528485143557191,0.0019212140468880534,0.0011375623289495707,0.0030070990324020386,0.0027246372774243355,0.00385895068757236,0.0040427581407129765,0.0016168043948709965,-0.004195329267531633,-0.0031263278797268867,-0.001841934397816658,0.0034387637861073017,0.0030435838270932436,-0.0004266489122528583,-0.0009285255218856037,0.0028301312122493982,-0.0009928273502737284,-0.0005755584570579231,0.0014757511671632528,0.003961735870689154,0.0036883079446852207,-0.002400672994554043,0.0020987247116863728,0.0039860643446445465,0.001871079090051353,0.00019953824812546372,-0.0009673075983300805,0.0015452003572136164,0.002183148404583335,-0.0002673670242074877,0.00547216460108757,-0.003959118388593197,0.0003970530815422535,0.004938642960041761,0.0022373225074261427,0.004024759866297245,-0.0022544648963958025
三井,0.002993327798321843,0.003312680870294571,0.003972552716732025,0.0007658492540940642,0.0022239494137465954,-0.003840535879135132,-0.0034553634468466043,0.00036956171970814466,-0.004088130313903093,0.0025475064758211374,-0.0028427590150386095,-0.0002572424418758601,0.001721072942018509,-0.004004200454801321,0.002037942875176668,-0.0009239985374733806,-0.0037182250525802374,-0.0038846603129059076,0.0023291318211704493,0.0019593306351453066,-0.0032339494209736586,-0.0016974278260022402,0.003600452793762088,0.0024478116538375616,0.004797800909727812,0.0020698613952845335,2.0588429833878763e-05,-0.004343845881521702,-0.004449861589819193,-0.001907723257318139,0.0015859589911997318,-0.0020152053330093622,-0.004687503445893526,0.00190936669241637,-0.0019784176256507635,0.003960642032325268,-0.00167208188213408,-0.0016586246201768517,0.00112240354064852,-0.00533529557287693,0.0019192805048078299,-0.0028727177996188402,0.0014255938585847616,-0.0005394597537815571,-0.005009284242987633,0.0034055975265800953,-0.0006707282736897469,0.0026204984169453382,0.0006921638268977404,0.0016031682025641203,0.0014726087683811784,0.0015056811971589923,-0.004593791905790567,-0.0005142783629707992,0.001424384769052267,-0.004964983556419611,-0.0031621423549950123,-0.002127876039594412,-0.0008396891644224524,0.003338357899338007,0.0015481103910133243,0.0038321102038025856,0.0017438195645809174,-0.004712668713182211,0.001643739640712738,0.0031935698352754116,-0.0008800223004072905,-0.0027853401843458414,0.00217043561860919,0.0022189696319401264,0.0002166696503991261,0.0026058934163302183,5.082902134745382e-07,-0.001579750794917345,0.0025284476578235626,-0.00010534327884670347,0.004712299443781376,-0.0028729639016091824,0.004040279891341925,0.004513947758823633,0.003062375821173191,0.0008574331877753139,-0.0004797959409188479,-0.0014958663377910852,0.001005154917947948,0.0026973083149641752,0.00041612371569499373,-0.00014331059355754405,0.004299438092857599,0.0012876177206635475,-0.0007438457105308771,-0.0025922267232090235,-0.00433381088078022,0.0007432230049744248,0.0003341681440360844,0.004248176235705614,-0.0026147752068936825,-0.0026544868014752865,-0.0024488363415002823,-0.0028975310269743204
新規,0.0031068583484739065,0.0010164256673306227,0.00027473908266983926,-0.002066805027425289,0.004401742946356535,-0.0027794884517788887,9.364703146275133e-05,-0.0005620438605546951,-0.00028464122442528605,0.0007933492888696492,0.00010516601469134912,0.0006936092977412045,-0.004705543164163828,-0.00279217422939837,-0.0003683342947624624,-0.004740853328257799,-0.004315143451094627,0.0006983607891015708,0.0029491980094462633,-0.004411259666085243,-0.001983783207833767,-0.0022510031703859568,0.0028110018465667963,0.0031905625946819782,-0.0032564334105700254,-0.003505274886265397,-0.0027561327442526817,-0.0007999574881978333,-0.002702962374314666,0.0003730521711986512,-0.0007057756301946938,-0.00047787235234864056,-0.0005615086411125958,-0.002124696969985962,-0.0005167225026525557,-0.004400926176458597,0.00031093944562599063,-0.0047767264768481255,-0.0016299242852255702,-0.004780943505465984,0.0008146269246935844,0.003697067964822054,-0.0015583672793582082,-0.00046726519940420985,-0.0035167408641427755,0.0007719281129539013,-0.0015978490700945258,0.004207612946629524,0.003910641651600599,0.0008509131730534136,0.0017486981814727187,-0.004727999214082956,-0.0035996027290821075,0.003991635981947184,-0.004814975429326296,0.0026825317181646824,0.0019454462453722954,0.0033145120833069086,0.0006354830111376941,-0.004824745003134012,3.2330765407095896e-06,0.0018829129403457046,-0.0005224982160143554,0.0043138605542480946,0.0017541424604132771,0.004662538878619671,0.0045081437565386295,-0.0025216054636985064,0.0016801322344690561,-0.0024576454889029264,-0.0037310044281184673,0.00240946002304554,0.00017366667452733964,0.0004202639975119382,-0.002892476972192526,0.004806378856301308,-0.002590708201751113,-0.0007315977709367871,-0.002189028076827526,-0.003482077969238162,-0.0036669080145657063,0.004295878112316132,-0.0015154503053054214,-0.003209579037502408,-0.003037382150068879,-0.0022181144449859858,-0.0028238841332495213,-0.0005466731381602585,-0.003399425419047475,-0.0021900078281760216,-0.0009353231871500611,0.0034551313146948814,-0.002741963369771838,-0.0006749387248419225,0.0029813258443027735,0.004762732889503241,0.004051986150443554,-0.004683033563196659,0.0010280963033437729,0.004986179526895285
ドライ,0.001528447843156755,-0.0024957507848739624,0.005812456831336021,0.004926357418298721,1.9943472580052912e-05,0.0003387685865163803,0.0029255019035190344,-0.0032060223165899515,-0.003925240598618984,0.0018211208516731858,0.00447268458083272,0.0009012940572574735,0.0010672258213162422,-0.004323419649153948,0.0004559661028906703,0.0024602897465229034,-0.005029831547290087,0.0004082361119799316,0.0013265906600281596,0.0029555459041148424,0.0033923189621418715,-0.0001254058734048158,-0.004417018033564091,0.0007132379105314612,-6.39269346720539e-05,-0.002479664282873273,-0.005092244129627943,0.001910742954351008,-0.003231761045753956,0.0023556193336844444,0.0030542886815965176,0.0032995000947266817,0.0002735083398874849,0.0021322944667190313,0.0030057677067816257,0.0046679056249558926,-0.002977565862238407,-0.004409761633723974,0.0013647079467773438,0.001687389798462391,-0.0047666896134614944,-0.0004480954085011035,-0.004845333751291037,-0.003112101461738348,-0.0004574659396894276,-0.00036454579094424844,0.0012221724027767777,-0.0011210300726816058,-0.002081915270537138,-0.0016165456036105752,0.003351363353431225,-0.0049307337030768394,0.0005315809394232929,-0.00205992185510695,-0.0005706126685254276,-0.0024572298862040043,0.0033616891596466303,0.004716523457318544,-0.00043980806367471814,0.00215879175812006,-0.0007380750612355769,-0.0037393325474113226,0.0005244796047918499,0.001290401560254395,-0.004577075596898794,0.00045135203981772065,-0.004551910795271397,0.0032761553302407265,0.004428217187523842,0.0029390391428023577,-0.0018370875623077154,0.004255846608430147,0.0005111477803438902,-0.0015379547839984298,-0.0026872397866100073,-0.0009177218889817595,0.0013193321647122502,-0.002019873121753335,-0.0033132561948150396,0.0038298037834465504,0.004530091769993305,0.0016112860757857561,-0.004381468985229731,-0.004385740030556917,-0.0031160463113337755,-0.001788248890079558,0.004070881754159927,-0.0021109788212925196,-0.0004476095491554588,-0.0011839481303468347,0.0002780873910523951,0.0006485697813332081,0.0008057791274040937,-0.0020832535810768604,0.002739337971433997,0.00013201392721384764,-0.00020480492094065994,0.00419384241104126,-0.0012822321150451899,0.004717830568552017
市況,0.000992465764284134,0.0005409964942373335,-0.0019155307672917843,-0.0036264064256101847,-0.004275296349078417,0.00038202860741876066,-0.003999595530331135,-0.003529506968334317,0.002538572996854782,-0.003910135943442583,-0.0009469450451433659,0.0010934879537671804,0.0007512543816119432,-0.0006207376718521118,-0.0030910284258425236,0.00011744706716854125,0.004523064941167831,0.0010882701026275754,-0.0028299037367105484,-0.001362925861030817,0.00444420101121068,-0.0006435867981053889,-0.003293730551376939,-0.0037014903500676155,0.00367005355656147,0.00025729078333824873,0.0046785385347902775,-0.00450411019846797,-0.00127646594773978,-0.004906111862510443,0.002117096446454525,-0.002149063628166914,-0.0009564467472955585,-0.0015243032248690724,-0.0020735482685267925,-0.0026035241317003965,0.004117199219763279,0.0016645315336063504,-0.00047805916983634233,0.002807059558108449,-0.0006466062040999532,-0.00407012552022934,-0.0026707137003540993,0.0035860957577824593,0.000291108270175755,0.002630658447742462,0.002068415516987443,3.212571391486563e-05,0.0004978227079845965,0.0004514134780038148,-0.0024175415746867657,0.0022743544541299343,0.002663370920345187,0.001796550233848393,-0.003938158508390188,-0.0036783807445317507,-0.0036355622578412294,-0.004979110322892666,-0.0023597534745931625,-0.003486342029646039,0.0015397517709061503,-0.0017865836853161454,-0.000187241705134511,-0.0034620785154402256,0.0040610842406749725,0.004060371313244104,0.0011293409625068307,0.0044268895871937275,0.0023415128234773874,0.004834751598536968,0.0013769686920568347,-0.0015549646923318505,-0.002845391631126404,-0.00224410742521286,-0.002869192510843277,-0.0027700557839125395,0.0038270449731498957,-0.0026029127184301615,-0.0016314468812197447,0.004312373232096434,0.0024864531587809324,0.004254400264471769,0.0008306106319651008,0.004901042208075523,0.0048340726643800735,-0.0007492546574212611,-0.002156160306185484,0.003669945988804102,0.003590352600440383,6.695850606774911e-05,-0.0013006852241232991,-0.004349572118371725,-0.0029149246402084827,0.0034513771533966064,-0.0026649499777704477,-0.004488719627261162,0.001756631419993937,-0.0034188784193247557,0.0007389836246147752,0.004311391618102789
水準,0.003938157111406326,-0.0016950634308159351,-0.0016646641306579113,-0.004324803128838539,0.0002990431967191398,0.0034116755705326796,0.000585462839808315,-0.0021739525254815817,0.004395369440317154,-0.002418356481939554,0.0035798032768070698,-0.0027107619680464268,0.0016653516795486212,0.0026392750442028046,0.0034457130823284388,-0.0030788748990744352,-0.001659916713833809,-0.004307648632675409,-0.0005746523384004831,0.00030026654712855816,-0.004123993217945099,-0.0012023251038044691,0.0017350353300571442,0.002782083349302411,0.0018275846960023046,0.0011647007195279002,0.001721336506307125,-0.00214066868647933,0.0027524204924702644,-0.00522337481379509,0.002026807051151991,-0.005004738923162222,0.004526384174823761,-0.0036294308956712484,-0.0016179111553356051,-4.647880814445671e-06,0.0022022926714271307,-0.005245634354650974,5.0378839659970254e-05,0.0015861919382587075,-0.0024931360967457294,-0.0037625953555107117,-0.005295334849506617,0.00026507058646529913,-0.004300845321267843,-0.0006781595293432474,-0.0035666662734001875,0.00367421330884099,-0.002516217064112425,0.004360785707831383,-0.002654865151271224,0.00022260527475737035,0.0023355635348707438,-4.168759915046394e-05,-0.0025943301152437925,-2.9823801014572382e-05,-0.002305764239281416,0.0016897345194593072,0.0007848288514651358,-0.0005950349732302129,0.00228429539129138,-0.003458451246842742,-0.00287406868301332,-0.001615057117305696,0.0035996618680655956,0.00453054578974843,0.0009511843672953546,0.002472721738740802,-0.002430453896522522,-9.52053815126419e-05,-0.00216356641612947,-0.004673871211707592,0.0028272976633161306,-0.0014047783333808184,0.004180116578936577,-0.00471879867836833,0.004098286386579275,0.0004106777487322688,0.0008135963580571115,0.0025496582966297865,-0.0033632514532655478,-0.004054106306284666,0.0014799183700233698,0.001939637353643775,-0.004038283135741949,-0.0015474875690415502,-0.001706690527498722,-0.004777568392455578,0.001617175294086337,-0.0035139655228704214,-0.0013325486797839403,-0.0032761399634182453,0.002806955948472023,-0.0035247798077762127,0.004963813815265894,0.004675907548516989,-0.003601201344281435,0.002268837532028556,-0.003188884351402521,0.00038257925189100206
低下,0.004693965893238783,0.001002875971607864,-0.00046061817556619644,0.00019037252059206367,-0.004407262895256281,0.0018855412490665913,0.004006566945463419,-0.0003012892557308078,0.0015735444612801075,-0.0022285759914666414,7.271646609297022e-05,-0.0006015593535266817,-0.0018064482137560844,0.004587834235280752,0.00024734166800044477,-0.001134541817009449,0.003833622904494405,-0.004203963093459606,0.002906720619648695,-0.0018672891892492771,0.005017213523387909,0.000983509118668735,-0.003038412192836404,0.00017855111218523234,0.001015094225294888,-0.002572179539129138,-0.0007920166244730353,0.0035958820953965187,0.004535639192909002,-0.002891041338443756,0.0012119516031816602,0.0039017992094159126,-0.0020180915016680956,-0.0030325569678097963,6.920660962350667e-05,0.0048854760825634,0.0005438690423034132,-0.0025593542959541082,0.0007581773097626865,-0.003900085808709264,-0.004730324260890484,0.0013386178761720657,-0.0019876831211149693,-0.0009160470799542964,-0.005018912255764008,-0.00199334928765893,-0.0019520723726600409,0.0050597479566931725,0.004823524039238691,-0.0005609047366306186,0.00485342787578702,0.004598548635840416,0.0018935493426397443,-0.0020229280926287174,0.002117038005962968,0.0005019372911192477,0.0032534198835492134,0.00341838039457798,0.0001778255682438612,-0.0015570735558867455,0.0025864355266094208,0.0035831958521157503,-0.0020673100370913744,-0.002136711962521076,0.004863578360527754,-0.004870416130870581,0.0049887765198946,0.003324889810755849,-0.004511074163019657,-0.004756273701786995,-0.004175292793661356,0.003737413790076971,-0.0005308233085088432,-0.004688330926001072,-0.0007545828120782971,-0.002980231773108244,-0.0021563528571277857,-0.0016566348494961858,-0.0031887409277260303,-0.004093623254448175,-0.00047518970677629113,0.0005141219589859247,0.001076191896572709,-0.00010523841046961024,-0.0030837995000183582,-0.0020064085256308317,0.0013106436235830188,-0.004492274019867182,0.004195329267531633,0.0015292908065021038,0.0006864784518256783,0.004764048848301172,0.0022435167338699102,0.0015612702118232846,0.0029390333220362663,-0.003102476242929697,-0.0029248124919831753,-0.0018414284568279982,-0.004161021206527948,0.000656976830214262
剥落,0.003949414007365704,0.0037050298415124416,-0.0015159649774432182,0.0027730155270546675,-0.005168595816940069,-0.0024863691069185734,0.0006872246158309281,0.0027567504439502954,0.0009348556632176042,-0.002565171103924513,0.0011142633156850934,-0.004675029311329126,0.001355570973828435,0.0022900616750121117,-3.6469871702138335e-05,0.000932797440327704,0.002203668700531125,0.003384803421795368,-0.00011259262828389183,0.0014132841024547815,0.0016104932874441147,0.002513599582016468,-0.0012753854971379042,-0.0034385952167212963,0.0029642449226230383,0.0043278648518025875,-0.004732940346002579,-0.0018028804333880544,-0.0022789633367210627,0.0038644864689558744,-0.0025315177626907825,-0.0024334543850272894,0.0017239213921129704,0.002213010098785162,0.0012394683435559273,-0.0004970256122760475,-0.001385226147249341,0.0006291189347393811,-0.0014217270072549582,0.003004720201715827,-0.0011225066846236587,-0.0019097456242889166,0.0016011146362870932,-0.005037971306592226,-0.003685189876705408,0.0037072463892400265,-0.004051388707011938,-0.0037069935351610184,-0.0030412215273827314,-2.531171230657492e-05,0.0012851131614297628,-0.0006331953918561339,-0.0013346945634111762,-0.0009700499358586967,-0.0006999512552283704,0.0021421511191874743,0.0007682659197598696,0.001342581119388342,0.0024424151051789522,-0.004533757455646992,-0.0027094895485788584,-0.004391695838421583,0.004699236247688532,0.004141186363995075,0.0008976988610811532,0.004901312291622162,0.004684093873947859,0.0035796896554529667,0.0007012580172158778,0.001158274244517088,-0.0008355204481631517,-0.0006815436063334346,-0.001803948893211782,0.002138562500476837,0.0029723402112722397,-0.0010689927730709314,0.004691068083047867,0.0018458663253113627,-0.0023816281463950872,-0.0013804173795506358,-0.0044073560275137424,-0.004469823092222214,0.004134334623813629,-0.0036534355022013187,-0.004037453327327967,0.0035340581089258194,-0.003837085561826825,-0.0018064440228044987,0.0006001282599754632,0.0004623718559741974,0.004323244094848633,0.0008421477978117764,-0.0021645643282681704,0.003431426826864481,0.002138428622856736,-0.0030295690521597862,0.0023626156616955996,-0.004201969131827354,0.0020471084862947464,-0.0011347141116857529
投資,0.0023907856084406376,0.0038491934537887573,0.0025952556170523167,0.004051733296364546,0.004536494612693787,0.0027365803252905607,-0.0025631950702518225,0.002943247789517045,0.003962941933423281,0.00043872647802345455,-0.0014244368067011237,-0.0041274516843259335,0.0041505564004182816,0.002666264306753874,-0.0029678710270673037,0.0010515572503209114,0.0035472179297357798,-0.004834202118217945,0.002777313580736518,-0.0023130280897021294,0.0047743492759764194,-0.0016665431903675199,0.003955952823162079,-0.0019760988652706146,0.0007459998596459627,-0.0017633391544222832,-0.0001722023298498243,-0.0007341399323195219,-0.004181282129138708,-0.005006913561373949,-0.0015961899189278483,-0.004785593133419752,0.004407044500112534,0.003755053970962763,-0.004107465501874685,0.00438542990013957,6.394882075255737e-05,-0.0023530186153948307,0.0036641389597207308,-0.004458577837795019,-0.002038421109318733,0.003131189616397023,-0.005354702472686768,0.0030016896780580282,0.004446240141987801,-0.004434144124388695,0.004292736295610666,0.0009508836083114147,-0.0005132624646648765,-0.0013272290816530585,0.002900737803429365,0.002832832746207714,0.00444516446441412,-0.0024516077246516943,0.0005843495018780231,0.000966850551776588,-0.0010255047818645835,0.004802229348570108,0.004096129909157753,0.0011277567828074098,-0.004607477691024542,0.005157393403351307,0.003390696132555604,-0.004875419661402702,-0.0036631685215979815,-0.0010608265874907374,0.004667491186410189,0.00047516837366856635,-0.004760959651321173,0.0022861857432872057,-0.004026501439511776,-0.003620479255914688,-0.00159167917445302,-0.0021372006740421057,-0.004954838659614325,0.004800502210855484,0.002978553995490074,0.003708513919264078,0.002683850470930338,-0.004436230752617121,-0.002409416949376464,0.001197865349240601,0.0032327761873602867,-0.00031805277103558183,0.0006199171766638756,-0.002987954765558243,0.002265225863084197,-0.002057944191619754,0.004377152770757675,0.002175447531044483,0.003406303934752941,0.0006900286534801126,-0.0013746721670031548,-0.0012063842732459307,0.0032314809504896402,-0.00037195291952230036,-0.0017375019378960133,0.0004890720010735095,0.0015088305808603764,2.5954313969123177e-05
評価,-0.002093355869874358,0.0018463487504050136,-0.0032851879950612783,0.0005699793691746891,5.154443351784721e-05,-0.000937777804210782,-0.0051861535757780075,0.00046762963756918907,-0.0039936029352247715,4.614682984538376e-05,0.0016013425774872303,0.004266090225428343,0.00013466353993862867,-0.003037757705897093,-0.002319813473150134,0.00019795849220827222,-0.0032539370004087687,-0.005134189035743475,0.0038137517403811216,0.00025682078558020294,-0.00014143490989226848,0.004629823844879866,-0.0020988567266613245,-0.0035683310125023127,-0.0027669791597872972,0.0014080358669161797,0.0014973626239225268,0.0026528697926551104,0.0030288270208984613,-0.0030911557842046022,-0.004213207401335239,0.0030366491992026567,-0.0011132326908409595,0.002552018268033862,-0.003610500367358327,-0.004132253583520651,0.002462645061314106,-0.0008425181149505079,-1.1842948879348114e-05,-0.003499576821923256,0.0013725674943998456,-0.000861241715028882,0.003654212225228548,-0.001059404923580587,0.0013097833143547177,0.0005814635078422725,-0.0025512424763292074,-2.5508530598017387e-05,0.004090865142643452,-0.004569888114929199,5.332575165084563e-05,-0.002478231443092227,0.0042218794114887714,0.004173127003014088,-0.005080633796751499,-0.0032418023329228163,0.002950852271169424,-0.004841398913413286,-0.0019663856364786625,0.0034458711743354797,0.00331199006177485,0.0035361619666218758,0.002577356994152069,-0.002808433724567294,-0.002219337970018387,0.0019784457981586456,0.0017381220823153853,0.004552607890218496,0.0014311508275568485,-0.0004729034553747624,0.0022218949161469936,-0.004840298555791378,0.002549649216234684,-0.0022568581625819206,-0.002169220708310604,0.0019044337095692754,0.0027538700960576534,0.0016967373667284846,0.002355885226279497,0.0013389958767220378,-0.002519504865631461,-0.002715786686167121,-0.002887146547436714,-0.0035164544824510813,0.0013442456256598234,-0.0007136341300792992,0.0011559356935322285,-0.00038075997144915164,0.0036841174587607384,-0.0020745256915688515,0.003105996875092387,-0.00016569129365962,-0.0008450742461718619,0.003583568148314953,-0.00287294527515769,0.0005423821276053786,0.0007939396309666336,0.0015473004896193743,0.0023035965859889984,-0.0031860105227679014
